"","V1","V2"
"How.many.employees.work.at.your.organization.","11-100 people","Fewer than 10 people"
"Overall_mean","4.85","4.22"
"Purpose.1_mean","4.975","4.830"
"Application_mean","5.625","4.890"
"Analysis_mean","3.5625","4.8000"
"Strategy_mean","5.8875","4.8400"
"Practice.1_mean","5.0875","3.8000"
"Quality_mean","4.9375","3.4300"
"Security_mean","3.75","2.22"
"Responsible.Use_mean","5.20","4.51"
"Infrastructure_mean","6.45","5.08"
"People.1_mean","4.50","4.36"
"Leadership_mean","5.65","4.71"
"Talent_mean","4.5625","3.6500"
"Culture_mean","3.3625","4.7700"
